tag	n_posts	n_users
graveyard	20	15
chasing	20	15
manga	20	14
skype	20	13
balloons	20	15
skiing	20	20
motorbike	20	14
zoo	20	18
skating	20	15
surreal	20	19
rollercoaster	20	15
dream signs	20	12
call of duty	20	15
biology	20	10
laser	20	19
hand	20	17
lol	20	14
spider-man	20	11
summon	20	14
date	20	16
computers	20	16
agent	20	13
my little pony	20	13
restroom	20	11
exploring	20	11
key	20	17
voice	20	20
priest	20	14
monk	20	14
lucid dreams	20	16
insomnia	20	11
kidnap	20	11
reality checks	20	17
ring	20	17
stalker	20	12
gross	20	18
armor	20	13
frog	20	15
teaching	20	14
awkward	20	18
stabilization	20	16
werewolves	20	13
satan	20	15
bread	19	19
searching	19	17
sound	19	15
staircase	19	11
virtual reality	19	19
stress	19	17
dream fragments	19	12
nuke	19	13
warrior	19	15
wand	19	16
superhero	19	18
subconscious	19	17
tanks	19	10
president	19	18
nightmares	19	19
axe	19	14
bug	19	14
meteor	19	14
dock	19	18
confusing	19	18
breakfast	19	19
ceiling	19	12
guide	19	17
disease	19	16
illness	19	12
betrayal	19	17
statue	19	15
sci-fi	19	16
mantra	19	12
sexy	19	11
chinese	19	14
pills	19	15
freeway	19	13
non-lucid dream	19	16
station	19	12
nurse	19	15
rainbow	19	15
old woman	19	11
knives	19	16
jealousy	19	14
health	19	14
execution	19	17
dentist	19	19
rats	19	15
guilt	19	17
hovering	19	13
olympics	19	14
germany	19	15
hallucination	18	14
bath	18	16
cruise ship	18	14
insects	18	14
iphone	18	15
plane crash	18	17
screaming	18	12
paris	18	14
injury	18	16
homestuck	18	11
hot	18	16
false	18	15
parking	18	14
burning	18	17
body	18	14
florida	18	14
bible	18	13
blurry	18	16
fortress	18	12
pregnancy	18	16
german	18	11
neighbors	18	14
invisible	18	15
crystals	18	14
butterfly	18	16
escalator	18	13
link	18	10
downtown	18	13
ex-girlfriend	18	14
false awakenings	18	18
car accident	18	15
hostage	18	16
pub	18	15
peeing	18	12
pet	18	15
success	18	12
apple	18	16
security guard	18	10
cancer	18	16
bikes	18	11
elements	18	13
pistol	18	11
knight	17	14
jewelry	17	14
trampoline	17	16
skeletons	17	13
mine	17	16
professor	17	13
toy	17	12
skateboard	17	15
post-apocalyptic	17	12
heart	17	17
recurring	17	16
bathtub	17	13
dirt	17	13
comics	17	11
canada	17	12
las vegas	17	12
milk	17	17
penis	17	11
hat	17	15
drink	17	17
airplanes	17	13
elevators	17	12
convention	17	12
walk	17	14
colosseum	17	11
interview	17	16
picture	17	15
car chase	17	16
revenge	17	14
scientist	17	15
world	17	17
gay	17	16
multiple dreams	17	17
lions	17	14
parade	17	16
quest	17	15
color	17	16
voices	17	13
egg	17	17
summer	17	14
owl	17	16
eye	17	15
bite	17	12
medicine	17	10
life	17	14
laundry	17	15
hide	17	15
soda	17	15
cigarette	17	16
cinema	17	11
shirt	17	16
nighttime	17	16
nazi	17	13
change	17	15
texting	17	17
female	17	11
sewer	17	16
fild	17	13
poker	16	14
hawaii	16	16
kidnapped	16	13
surfing	16	14
erotic	16	12
goddess	16	11
sandwich	16	15
shadows	16	14
cheese	16	16
sniper	16	15
superheroes	16	12
chicago	16	16
drums	16	14
swim	16	14
project	16	13
statues	16	10
mob	16	15
sonic	16	11
birth	16	14
acid	16	13
stealth	16	13
chair	16	12
intruder	16	11
frustration	16	14
rich	16	14
waiting	16	14
lizard	16	14
tribe	16	12
tornadoes	16	12
mcdonald's	16	12
speech	16	14
mermaid	16	16
hypnagogic hallucinations	16	11
tired	16	13
poop	16	14
prisoner	16	14
super strength	16	10
grenade	16	15
stuck	16	12
fallout	16	12
intense	15	15
dcs	15	12
pink	15	12
rifle	15	11
haircut	15	14
acting	15	14
dolphin	15	13
russia	15	11
sushi	15	13
thunderstorm	15	10
long dream	15	13
criminal	15	13
dark room	15	11
fbi	15	10
choir	15	12
pony	15	11
valley	15	13
trouble	15	14
alligator	15	12
futurama	15	11
department store	15	14
floor	15	13
crow	15	11
punch	15	15
vitamin b6	15	11
mind control	15	13
chat	15	10
tunnels	15	12
men	15	11
news	15	14
rave	15	11
sunlight	15	13
crystal	15	13
trash	15	13
trucks	15	12
star	15	11
newspaper	15	10
ninjas	15	15
goal	15	13
failure	15	11
watch	15	14
hunger games	15	13
forum	15	11
spear	15	11
grandparents' house	15	10
boxes	15	12
conspiracy	15	15
paint	15	13
bus stop	15	12
interesting	15	10
phone call	15	13
out of body experience	15	13
motel	15	13
stabilize	15	14
carpet	15	11
hallucinations	15	10
beard	14	13
fruit	14	13
skateboarding	14	12
cookie	14	13
lecture	14	14
walls	14	11
attacked	14	14
planes	14	14
calm	14	11
smell	14	13
graffiti	14	11
western	14	13
pants	14	13
towel	14	13
pillow	14	13
hockey	14	12
wallet	14	13
leaves	14	13
outdoors	14	12
photograph	14	10
awakening	14	12
real	14	12
parachute	14	12
face	14	13
galaxy	14	14
mushrooms	14	13
balloon	14	12
missile	14	10
homework	14	13
peace	14	13
gta	14	12
sickness	14	10
bee	14	12
bat	14	12
scream	14	14
stabbing	14	12
air	14	12
cavern	14	11
history	14	13
blind	14	11
gift	14	11
silver	14	10
flying car	14	10
business	14	10
fountain	14	13
mouse	14	14
chemistry	14	12
radiation	14	10
cloud	14	12
guy	14	12
maths	14	10
doctors	14	12
prince	14	13
coffin	14	12
happiness	14	12
costume	14	12
birthday party	14	14
gate	14	12
laboratory	14	13
disaster	14	11
short dream	14	13
heist	14	10
secret	14	11
cloudy	14	10
bears	14	12
wierd	14	13
resident evil	14	10
europe	14	13
final fantasy	13	11
snowboarding	13	12
poetry	13	10
crocodile	13	11
choking	13	12
photo	13	13
police officer	13	13
breathing	13	12
suit	13	12
goblin	13	12
morphing	13	10
advice	13	13
platform	13	13
symbol	13	12
samurai	13	13
shared dreaming	13	11
physics	13	12
wilderness	13	10
message	13	12
whale	13	13
refrigerator	13	11
best friend	13	12
rope	13	11
junkyard	13	10
rage	13	12
laughing	13	13
france	13	11
reality	13	12
costumes	13	11
bombs	13	11
skull	13	11
black cat	13	10
yoga	13	13
ipad	13	12
cathedral	13	10
head	13	12
deer	13	10
dating	13	12
broken	13	13
ex-boyfriend	13	10
indian	13	12
strange dream	13	11
telekenesis	13	12
boys	13	12
family guy	13	11
pit	13	12
deild attempt	13	11
astronaut	13	12
cruise	13	12
scorpion	13	13
raining	13	11
mice	13	11
terrorist	13	11
bright	13	11
non- lucid	13	10
terrorists	13	11
poor	13	11
nervous	13	11
rooftop	13	11
terminator	12	11
condom	12	10
turtles	12	11
slow motion	12	12
octopus	12	10
chickens	12	10
socks	12	10
challenge	12	12
labyrinth	12	10
waterbending	12	10
wal-mart	12	10
microwave	12	10
chess	12	11
furniture	12	11
lottery	12	10
gifts	12	10
alex	12	11
clown	12	11
commercial	12	12
fairy	12	11
pier	12	11
shaman	12	11
presence	12	10
corpse	12	11
shooter	12	10
blue eyes	12	10
awake	12	12
tickets	12	12
flower	12	11
black hole	12	12
bench	12	10
fridge	12	10
chainsaw	12	10
first ld	12	12
reality check fail	12	12
candle	12	10
usa	12	11
tour	12	12
jacket	12	11
attempt	12	11
xbox	12	12
whales	12	11
monkeys	12	11
alligators	12	11
peanut butter	12	11
circus	12	11
heat	12	10
tools	12	12
backpack	12	12
cyborg	12	11
pig	12	11
spell	12	11
dresses	12	11
wormhole	12	12
super speed	12	11
locker	11	10
ritual	11	10
mexican	11	10
gorilla	11	10
banana	11	10
tomb	11	10
dimensions	11	10
deild chain	11	10
wheelchair	11	11
lamp	11	10
irc	11	10
hallways	11	11
goat	11	11
deck	11	10
luggage	11	10
enemy	11	10
graduation	11	11
wasteland	11	11
arrested	11	10
bullying	11	10
mess	11	10
architecture	11	10
eclipse	11	11
performance	11	10
boots	11	10
gangs	11	11
giants	11	11
research	11	10
ticket	11	11
hotel room	11	11
vomit	11	11
kung fu	11	10
first time	11	10
apocalyptic	11	11
fish tank	11	10
locker room	11	10
stone	11	11
student	11	10
south park	11	10
rice	11	10
introduction	11	11
packing	11	11
new zealand	11	10
sinking	11	11
line	11	11
sweets	11	11
note	11	10
third person	11	10
pigs	11	11
diving	11	10
oil	10	10
bending	10	10
sheep	10	10
tropical	10	10
trap	10	10
annoyed	10	10
sniper rifle	10	10
raccoon	10	10
light switch	10	10
secret agent	10	10
sign	10	10
diner	10	10
prophecy	10	10
card	10	10
hills	10	10
bizarre	10	10
levitate	10	10
waking	10	10
harbor	10	10
james bond	10	10
umbrella	10	10
meat	10	10
excited	10	10
spiritual	10	10
bunny	10	10
gliding	10	10
arrows	10	10
villain	10	10
twitter	10	10
comic	10	10
lesson	10	10
tentacles	10	10
speed	10	10
levitating	10	10
psychedelic	10	10
arrow	10	10
tavern	10	10
obstacle course	10	10
